,Digital price list - full cost only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sides printed,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Finishing,,,,,,,,,,,,,C/C & glued,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gluing style,,,,,,,,,,,,,Easy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DIGITAL - 395um INVERCOTE G GLUED,,,,,,,,,,,,,,,,,,,73088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,7,,,,,,,,,,,,,œ519.40,,,œ530.60,,œ540.40,œ550.20,œ569.80,œ595.00,œ630.00,œ663.60,œ697.20,œ732.20,œ767.20,œ803.60,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,,œ0.00,,,,œ0.00,,œ0.00,,œ0.00,,,,,,,,
425,8,,,,,,,,,,,,,œ539.00,,,œ548.80,,œ557.20,œ565.60,œ583.80,œ602.00,œ630.00,œ659.40,œ693.00,œ722.40,œ754.60,œ784.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ980.94,œ0.00,œ0.00,œ0.00,œ0.00,,œ0.00,,,,œ0.00,,œ0.00,,œ0.00,,,,,,,,
450,9,,,,,,,,,,,,,œ0.00,,,œ0.00,,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,,œ0.00,,,,œ0.00,,œ0.00,,œ0.00,,,,,,,,
475,10,,,,,,,,,,,,,œ0.00,,,œ0.00,,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,,œ0.00,,,,œ0.00,,œ0.00,,œ0.00,,,,,,,,
500,11,,,,,,,,,,,,,œ0.00,,,œ0.00,,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,,œ0.00,,,,œ0.00,,œ0.00,,œ0.00,,,,,,,,
525,12,,,,,,,,,,,,,œ0.00,,,œ0.00,,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ739.66,œ0.00,œ793.52,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,,œ0.00,,,,œ0.00,,œ0.00,,œ0.00,,,œ0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DIGITAL - 505um CHROMOCARD GLUED,,,,,,,,,,,,,,,,,,,73090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C/C DIE,Number up,1,5,10,15,20,25,40,50,75,100,150,200, 250 , 300 , 400 , 500 , 600 , 750 ," 1,000 "," 1,500 "," 2,000 "," 2,500 "," 3,000 "," 3,500 "," 4,000 "," 4,500 "," 5,000 ",5500,6000,6500,7000,7500,8000,8500,9000,9500,10000,12000,12500,13000,13500,14000,15000,17000,17500,18000,20000,25000,30000,35000,40000,,,,
250,1,œ487.14,œ555.67,œ556.23,œ557.30,œ557.87,œ558.94,œ0.00,œ564.66,œ569.37,œ574.42,,œ611.87,œ632.80,,œ694.06,œ732.20,,œ840.00,œ945.00,"œ1,164.80","œ1,380.40","œ1,597.40","œ1,813.00","œ2,031.40","œ2,247.00","œ2,465.40","œ2,681.00",œ0.00,"œ3,132.85",œ0.00,"œ3,567.82",œ0.00,"œ3,984.48",œ0.00,"œ4,441.26",œ0.00,"œ4,878.06","œ6,385.13",œ0.00,,,,œ0.00,,œ0.00,,œ0.00,"œ11,567.86",,,,,,,
275,2,,,,,,,,,,,,œ559.72,œ588.00,,œ607.29,œ625.80,œ651.06,œ680.40,œ733.60,,œ954.80,"œ1,068.20","œ1,180.20","œ1,295.00","œ1,405.60","œ1,520.40","œ1,631.00",œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,"œ2,775.86",,œ0.00,,"œ3,571.02",,"œ3,978.72",,"œ4,547.38",,"œ5,115.85",,"œ7,452.10",,"œ9,723.03",,,,
300,3,,,,,,,,,,,,,œ596.40,,,œ614.60,,œ642.60,œ677.60,œ754.60,œ827.40,œ903.00,œ981.40,"œ1,061.20","œ1,139.60","œ1,218.00","œ1,293.60",œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,"œ2,415.84",œ0.00,,,,œ0.00,,œ0.00,"œ3,277.22",œ0.00,,,,,,,,
325,4,,,,,œ595.74,,,œ598.67,,,,,œ610.40,œ614.49,,œ625.80,,œ641.20,œ662.20,œ721.00,œ779.80,œ834.40,œ893.20,œ954.80,"œ1,016.40","œ1,078.00","œ1,136.80",œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,"œ1,517.15",œ0.00,œ0.00,œ0.00,œ0.00,,œ0.00,,,,œ0.00,,œ0.00,,œ0.00,,,,,,,,
350,5,,,,,,,,,,,,œ624.41,œ627.20,,,œ639.80,,œ653.80,œ666.40,œ709.80,œ756.00,œ805.00,œ854.00,œ901.60,œ950.60,œ999.60,"œ1,051.40",œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,,œ0.00,,,,œ0.00,,œ0.00,,œ0.00,,,,,,,,
375,6,œ565.45,œ633.00,œ633.11,œ633.23,œ633.85,œ633.92,œ634.19,œ635.82,,,,œ641.31,œ645.40,,,œ656.60,œ662.86,œ669.20,œ680.40,œ708.40,œ749.00,œ789.60,œ830.20,œ875.00,œ915.60,œ957.60,œ999.60,œ0.00,œ0.00,œ0.00,"œ1,178.72",œ0.00,œ0.00,"œ1,360.57",œ0.00,œ0.00,"œ1,443.20",,"œ1,527.30",,,,"œ1,908.60",,œ0.00,,"œ2,415.85",,,,,,,,
400,7,,,,,,,,,,,,,œ663.60,,,œ673.40,,œ686.00,œ695.80,œ718.20,œ750.40,œ786.80,œ823.20,œ861.00,œ897.40,œ935.20,œ971.60,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,,œ0.00,,,,œ0.00,,œ0.00,,œ0.00,,,,,,,,
